"",2020,2021,2022,2023
"BNP, euroområdet","-6,4","5,0","4,5","1,5"
"BNP, USA","-3,4","6,0","4,5","1,5"
"BNP, Kina","2,3","8,0","5,5","5,5"
"BNP, världen, ppp-vägd","-3,3","6,0","4,5","3,5"
"BNP, världen KIX-vägd","-4,3","4,8","4,2","2,3"
Svensk exportmarknad,"-8,9","8,0","6,0","3,5"
Inflation euroområdet,"0,3","1,9","1,4","1,5"
"Inflation, USA","1,2","3,7","2,8","2,4"
% av BNP,2020,,202,2022,,202,2024
"",,1,,,3,,
Finansiellt sparande,"-3,0",,"-1,8","-0,7",,"0,6",1
Strukturellt sparande,-1,,"-1,2","-0,6",,"0,5","1,2"
Förändring strukturellt,,,"-0,2","0,6",,"0,9","0,7"
sparande från föregående år,,,,,,,
"",2022,2023,2024
"Effektivare användande av medel på UO20 ochUO23",3 200,4 400,5 600
Nej till förstärkt förvärvsavdrag,9100,"14500",14 500
Nej till skattereduktion för a-kassa,800,1600,1600
Övriga skatteförslag,100,190,280
"Förslag som i delar återfinns ibudgetpropositionen för 2022",9 900,8 000,8 100
"",,,
SUMMA FINANSIERING,"51100","64670",73 280
"",Årsarbetskraft,Sysselsatta
Jobbskatteavdrag,6 000,13 000
Jobbincitament i,43 000,48 000
arbetslöshetsförsäkringen,,
Jobbincitament i sjukförsäkringen,4 000,4 000
Förstärkta nystartsjobb och lönebidrag,11 000,12 000
inklusive utfasning av extratjänsterna,,
Summa,64 000,77 000
"1.61.41.210.80.60.40.2012345678910"
""
"1.61.41.210.80.60.40.2012345678910"
""
"1.61.41.210.80.60.40.2012345678910"
""
"1.61.41.210.80.60.40.2012345678910"
""
"1.61.41.210.80.60.40.2012345678910"
""
"1.61.41.210.80.60.40.2012345678910",
"",
"",
"",
"",
"",
"",
"",
"",
"1.61.41.210.80.60.40.2012345678910"
""
"1.61.41.210.80.60.40.2012345678910"
""
"1.61.41.210.80.60.40.2012345678910"
""
"1.61.41.210.80.60.40.2012345678910"
""
"1.61.41.210.80.60.40.2012345678910"
""
"",,,
Tusental kronor,,,
Utgiftsområde,"Regeringensförslag","Avvikelsefrån regeringen",
1,Rikets styrelse,17 268 338,106 000
2,Samhällsekonomi och finansförvaltning,17 971 183,10 000
3,"Skatt, tull och exekution",12 729 734,90 000
4,Rättsväsendet,61 688 986,2 160 500
5,Internationell samverkan,2 235 117,±0
6,Försvar och samhällets krisberedskap,76 525 799,124 500
7,Internationellt bistånd,51 939 762,−13 010 000
8,Migration,8 456 364,105 000
9,"Hälsovård, sjukvård och social omsorg",112 483 613,310 000
10,"Ekonomisk trygghet vid sjukdom ochfunktionsnedsättning",97 721 457,−5 419 000
11,Ekonomisk trygghet vid ålderdom,41 786 128,±0
12,Ekonomisk trygghet för familjer och barn,103 040 770,−3 229 000
13,Jämställdhet och nyanlända invandrares etablering,6 319 015,1 000
14,Arbetsmarknad och arbetsliv,94 025 726,−4 093 700
15,Studiestöd,27 801 485,5 000
16,Utbildning och universitetsforskning,94 529 445,139 000
17,"Kultur, medier, trossamfund och fritid",18 454 593,±0
18,"Samhällsplanering, bostadsförsörjning ochbyggande samt konsumentpolitik",7 025 334,−1 256 000
19,Regional utveckling,5 241 801,75 000
20,Allmän miljö- och naturvård,21 851 580,75 000
21,Energi,4 454 924,−850 000
22,Kommunikationer,76 964 552,1 084 000
23,"Areella näringar, landsbygd och livsmedel",22 044 754,−145 000
24,Näringsliv,9 344 901,−85 000
25,Allmänna bidrag till kommuner,152 322 194,5 649 000
26,Statsskuldsräntor m.m.,12 155 200,±0
27,Avgiften till Europeiska unionen,47 836 848,±0
Summa utgiftsområden,1 204 219 603,−18 153 700,
Minskning av anslagsbehållningar inkl. SSR,−6 681 205,±0
Summa utgifter,1 197 538 398,−18 153 700
Riksgäldskontorets nettoutlåning,−60 090 130,±0
Kassamässig korrigering,370 837,±0
Summa,1 137 819 105,−18 153 700
"",,,
Miljoner kronor,,,
Utgiftsområde,Avvikelse från regeringen,,
"",2023,2024,
1,Rikets styrelse,76,41
2,Samhällsekonomi och finansförvaltning,10,10
3,"Skatt, tull och exekution",715,300
4,Rättsväsendet,2 624,5 288
5,Internationell samverkan,±0,±0
6,Försvar och samhällets krisberedskap,125,125
7,Internationellt bistånd,−14 640,−16 570
8,Migration,330,430
9,"Hälsovård, sjukvård och social omsorg",305,305
10,"Ekonomisk trygghet vid sjukdom ochfunktionsnedsättning",−12 308,−12 298
11,Ekonomisk trygghet vid ålderdom,−500,−500
12,Ekonomisk trygghet för familjer och barn,−3 780,−3 858
13,Jämställdhet och nyanlända invandrares etablering,−8,−9
14,Arbetsmarknad och arbetsliv,−803,−1 347
15,Studiestöd,50,100
16,Utbildning och universitetsforskning,46,17
17,"Kultur, medier, trossamfund och fritid",215,215
18,"Samhällsplanering, bostadsförsörjning ochbyggande samt konsumentpolitik",−80,−5 780
19,Regional utveckling,75,150
20,Allmän miljö- och naturvård,−880,−2 060
21,Energi,−450,−450
22,Kommunikationer,175,175
23,"Areella näringar, landsbygd och livsmedel",855,855
24,Näringsliv,−85,−85
25,Allmänna bidrag till kommuner,8 060,10 691
26,Statsskuldsräntor m.m.,±0,±0
27,Avgiften till Europeiska unionen,±0,±0
Summa utgiftsområden,−19 875,−24 256,
Minskning av anslagsbehållningar inkl. SSR,±0,±0
Summa utgifter,−19 875,−24 256
Riksgäldskontorets nettoutlåning,±0,±0
Kassamässig korrigering,±0,±0
Summa,−19 875,−24 256
"",,
Tusental kronor,,
Inkomsttitel,"Regeringensförslag","Avvikelse frånregeringen"
1100 Direkta skatter på arbete,699 968 626,−7 084 000
1111 Statlig inkomstskatt,54 707 724,−85 000
1115 Kommunal inkomstskatt,829 121 840,−4 964 000
1120 Allmän pensionsavgift,142 000 175,110 000
1130 Artistskatt,±0,±0
1140 Skattereduktioner,−325 861 113,−2 145 000
"",,
1200 Indirekta skatter på arbete,656 081 264,20 000
1210 Arbetsgivaravgifter,650 550 006,120 000
1240 Egenavgifter,13 916 853,±0
1260 Avgifter till premiepensionssystemet,−44 607 084,−100 000
1270 Särskild löneskatt,54 580 049,±0
1280 Nedsättningar,−18 948 405,±0
1290 Tjänstegruppliv,589 845,±0
"",,
1300 Skatt på kapital,316 724 321,−6 300 000
"1310 Skatt på kapital, hushåll",86 042 613,−1 642 000
1320 Skatt på företagsvinster,166 837 235,−4 658 000
1330 Kupongskatt,5 759 753,±0
1340 Avkastningsskatt,7 423 010,±0
1350 Fastighetskatt,35 927 402,±0
1360 Stämpelskatt,14 734 308,±0
"",,
1400 Skatt på konsumtion och insatsvaror,671 957 954,−8 508 000
"1410 Mervärdesskatt, hushåll",526 816 803,−556 000
1420 Skatt på alkohol och tobak,28 519 640,±0
1430 Energiskatt,56 482 051,−7 300 000
1430 Energiskatt,±0,±0
1440 Koldioxidskatt,21 954 815,±0
1450 Övriga skatter på energi och miljö,7 223 481,−410 000
1470 Skatt på vägtrafik,23 400 368,−242 000
1480 Övriga skatter,7 560 796,±0
"",,
1500 Skatt på import,6 990 812,±0
"",,
1600 Restförda och övriga skatter,14 227 748,−600 000
"",,
"1700 Avgående poster, skatter till EU",−6 990 812,±0
"",,
Offentliga sektorns skatteintäkter (periodiserat),2 358 959 913,−22 472 000
"",,
"1800 Avgående poster, skatter till andra sektorer",−1 142 287 113,4 854 000
"",,
Statens skatteintäkter (periodiserat),1 216 672 800,−17 618 000
"",,
1900 Periodiseringar,5 124 024,±0
"",,
1000 Statens skatteinkomster (kassamässigt),1 221 796 824,−17 618 000
"",,
Övriga inkomster (kassamässigt),−30 802 590,±0
"",,
2000 Inkomster av statens verksamhet,44 456 316,±0
3000 Inkomster av försåld egendom,5 000 000,±0
4000 Återbetalning av lån,528 834,±0
5000 Kalkylmässiga inkomster,18 038 000,±0
6000 Bidrag m.m. från EU,27 786 900,±0
"7000 Avräkningar m.m. i anslutning tillskattesystemet",−126 612 640,±0
"8000 Utgifter som redovisas som krediteringar påskattekonto",±0,±0
Statsbudgetens inkomster (kassamässigt),1 190 994 234,−17 618 000
"",,
Miljoner kronor,,
Inkomsttitel,Avvikelse från regeringen,
"",2023,2024
1100 Direkta skatter på arbete,−1 965,−1 681
1111 Statlig inkomstskatt,235,455
1115 Kommunal inkomstskatt,−7 125,−6 951
1120 Allmän pensionsavgift,220,220
1130 Artistskatt,±0,±0
1140 Skattereduktioner,4 705,4 595
"",,
1200 Indirekta skatter på arbete,85,375
1210 Arbetsgivaravgifter,195,485
1240 Egenavgifter,±0,±0
1260 Avgifter till premiepensionssystemet,−110,−110
1270 Särskild löneskatt,±0,±0
1280 Nedsättningar,±0,±0
1290 Tjänstegruppliv,±0,±0
"",,
1300 Skatt på kapital,−7 279,−7 332
"1310 Skatt på kapital, hushåll",−1 642,−1 642
1320 Skatt på företagsvinster,−5 637,−5 690
1330 Kupongskatt,±0,±0
1340 Avkastningsskatt,±0,±0
1350 Fastighetskatt,±0,±0
1360 Stämpelskatt,±0,±0
"",,
1400 Skatt på konsumtion och insatsvaror,−10 190,−11 647
"1410 Mervärdesskatt, hushåll",−612,−834
1420 Skatt på alkohol och tobak,−768,−1 584
1430 Energiskatt,−7 300,−7 300
1430 Energiskatt,±0,±0
1440 Koldioxidskatt,±0,±0
1450 Övriga skatter på energi och miljö,−882,−944
1470 Skatt på vägtrafik,−628,−985
1480 Övriga skatter,±0,±0
"",,
1500 Skatt på import,±0,±0
"",,
1600 Restförda och övriga skatter,−600,−700
"",,
"1700 Avgående poster, skatter till EU",±0,±0
"",,
Offentliga sektorns skatteintäkter (periodiserat),−19 949,−20 985
"",,
"1800 Avgående poster, skatter till andra sektorer",6 905,6 731
"",,
Statens skatteintäkter (periodiserat),−13 044,−14 254
"",,
1900 Periodiseringar,±0,±0
"",,
1000 Statens skatteinkomster (kassamässigt),−13 044,−14 254
"",,
Övriga inkomster (kassamässigt),−100,−100
"",,
2000 Inkomster av statens verksamhet,−100,−100
3000 Inkomster av försåld egendom,±0,±0
4000 Återbetalning av lån,±0,±0
5000 Kalkylmässiga inkomster,±0,±0
6000 Bidrag m.m. från EU,±0,±0
"7000 Avräkningar m.m. i anslutning tillskattesystemet",±0,±0
"8000 Utgifter som redovisas som krediteringar påskattekonto",±0,±0
Statsbudgetens inkomster (kassamässigt),−13 144,−14 354
"",2022,2023,2024
Takbegränsade utgifter,−18 154,−19 875,−24 256
Budgeteringsmarginal,1 154,−125,−15 744
Utgiftstak för staten,−17 000,−20 000,−40 000
Kommunsektorns finanser,,,
Miljoner kronor - avvikelse från regeringen,,,
"",2022,2023,2024
Kommunernas inkomster,1 685,1 435,4 240
Kommunal inkomstskatt,−4 964,−7 125,−6 951
Kapitalinkomster och övriga inkomster,±0,±0,±0
Statsbidrag under utgiftsområde 25,5 649,8 060,10 691
därav ekonomiska regleringar,±0,±0,±0
Statsbidrag från övriga utgiftsområden,1 000,500,500
Utgifter,1 685,1 435,4 240
Finansiellt sparande i kommunsektorn,±0,±0,±0
Den offentliga sektorns finanser,,,
Miljoner kronor - avvikelse från regeringen,,,
"",2022,2023,2024
Offentlig sektors inkomster,−22 582,−20 269,−21 305
Offentlig sektors utgifter,−22 586,−25 345,−29 576
Finansiellt sparande i offentlig sektor,4,5 076,8 271
Staten,536,6 731,9 902
Ålderspensionssystemet,−532,−1 655,−1 631
Kommunsektorn,±0,±0,±0
Finansiellt sparande i procent av BNP (nivå),"−0,66 %","0,60 %","0,98 %"
"",2022,2023,2024,
Inkomster i statens budget,−17 618,−13 144,−14 354,
"",därav inkomster av försåld egendom,±0,±0,±0
Utgifter i statens budget,−18 154,−19 875,−24 256,
"",därav statsskuldsräntor,±0,±0,±0
"",Riksgäldskontorets nettoutlåning,±0,±0,±0
"",Kassamässig korrigering,±0,±0,±0
Statens budgetsaldo,536,6 731,9 902,
Statsskuld vid årets slut,−536,−7 267,−17 169,
Inkomster i statens budget,,,,
Miljoner kronor - avvikelse från regeringen,,,,
"",2022,2023,2024,
Direkta skatter på arbete,−7 084,−1 965,−1 681,
Indirekta skatter på arbete,20,85,375,
Skatt på kapital,−6 300,−7 279,−7 332,
Skatt på konsumtion och insatsvaror,−8 508,−10 190,−11 647,
Offentliga sektorns skatteintäkter,−22 472,−19 949,−20 985,
"",avgår skatter till andra sektorer,4 854,6 905,6 731
Statens skatteintäkter,−17 618,−13 044,−14 254,
Periodiseringar,±0,±0,±0,
Statens skatteinkomster,−17 618,−13 044,−14 254,
Övriga inkomster,±0,−100,−100,
Inkomster i statens budget,−17 618,−13 144,−14 354,
"",,,,
Miljoner kronor,,,,
"",,Avvikelse från regeringen,,
"",,2022,2023,2024
Utgiftsområde 1 Rikets styrelse,,,,
2:2,Riksdagens förvaltningsanslag,10,10,10
4:1,Regeringskansliet m.m.,65,35,±0
6:1,Allmänna val och demokrati,31,31,31
Summa,106,76,41,
"",,,,
Miljoner kronor,,,,
"",,Avvikelse från regeringen,,
"",,2022,2023,2024
Utgiftsområde 2 Samhällsekonomi och finansförvaltning,,,,
"1:7",Konjunkturinstitutet,10,10,10
Summa,10,10,10,
"",,,,
Miljoner kronor,,,,
"",,Avvikelse från regeringen,,
"",,2022,2023,2024
"Utgiftsområde 3 Skatt, tull och exekution",,,,
"1:1",Skatteverket,10,500,±0
"1:2",Tullverket,80,215,300
Summa,90,715,300,
"",,,,
Miljoner kronor,,,,
"",,Avvikelse från regeringen,,
"",,2022,2023,2024
Utgiftsområde 4 Rättsväsendet,,,,
1:1,Polismyndigheten,863,1 058,2 858
1:2,Säkerhetspolisen,37,37,37
1:3,Åklagarmyndigheten,76,154,218
1:6,Kriminalvården,645,795,1 595
"1:10",Ersättning för skador på grund av brott,40,80,80
"99:1","Statligt stöd till kommunalaordningsvakter och lokala trygghetsåtgärder",500,500,500
Summa,2 161,2 624,5 288,
"",,,,
Miljoner kronor,,,,
"",,Avvikelse från regeringen,,
"",,2022,2023,2024
Utgiftsområde 6 Försvar och samhällets krisberedskap,,,,
"1:4",Forskning och teknikutveckling,20,20,20
"1:8",Försvarets radioanstalt,30,30,30
"1:9",Totalförsvarets forskningsinstitut,30,30,30
"2:1",Kustbevakningen,45,45,45
Summa,125,125,125,
"",,,,
Miljoner kronor,,,,
"",,Avvikelse från regeringen,,
"",,2022,2023,2024
Utgiftsområde 7 Internationellt bistånd,,,,
"1:1",Biståndsverksamhet,−13 010,−14 640,−16 570
Summa,−13 010,−14 640,−16 570,
"",,,,
Miljoner kronor,,,,
"",,Avvikelse från regeringen,,
"",,2022,2023,2024
Utgiftsområde 8 Migration,,,,
"1:1",Migrationsverket,105,330,430
Summa,105,330,430,
"",,,,
Miljoner kronor,,,,
"",,Avvikelse från regeringen,,
"",,2022,2023,2024
"Utgiftsområde 9 Hälsovård, sjukvård och social omsorg",,,,
1:3,Tandvårds- och läkemedelsförmånsverket,5,±0,±0
1:6,Bidrag till folkhälsa och sjukvård,80,80,80
2:4,"Insatser mot hiv/aids och andrasmittsamma sjukdomar",75,75,75
4:7,"Bidrag till utveckling av socialt arbetem.m.",150,150,150
Summa,310,305,305,
"",Avvikelse från regeringen,
"",2022 2023,2024
"",Utgiftsområde 10 Ekonomisk trygghet vid sjukdom och funktionsnedsättning,
"",1: Sjukpenning och rehabilitering m.m. −2 722 −8 487 −8 477,
1,,
"",1: Aktivitets- och sjukersättningar m.m. −2 387 −3 511 −3 511,
2,,
"",2: Försäkringskassan −310 −310,−310
1,,
"",Summa −5 419 −12 308 −12 298,
"",Avvikelser gentemot regeringen för utgiftsområde 11 Ekonomisk trygghet vid,
ålderdom,,
"",,
"",Miljoner kronor,
"",Avvikelse från regeringen,
"",2022 2023,2024
"",Utgiftsområde 11 Ekonomisk trygghet vid ålderdom,
"",1: Garantipension till ålderspension ±0 −800,−800
1,,
"",1: Äldreförsörjningsstöd ±0 300,300
4,,
"",Summa ±0 −500,−500
2,,,,
"1:3",Underhållsstöd,−35,−70,−70
"1:8",Bostadsbidrag,±0,100,100
Summa,−3 229,−3 780,−3 858,
"",,,,
Miljoner kronor,,,,
"",,Avvikelse från regeringen,,
"",,2022,2023,2024
Utgiftsområde 13 Jämställdhet och nyanlända invandrares etablering,,,,
3:1,Särskilda jämställdhetsåtgärder,10,10,10
4:2,Delegationen mot segregation,−9,−18,−19
Summa,1,−8,−9,
"",,,,
Miljoner kronor,,,,
"",,Avvikelse från regeringen,,
"",,2022,2023,2024
Utgiftsområde 14 Arbetsmarknad och arbetsliv,,,,
1:2,"Bidrag till arbetslöshetsersättning ochaktivitetsstöd",−4 524,−3 805,−3 572
1:3,"Kostnader för arbetsmarknadspolitiskaprogram och insatser",−2 069,−3 828,−3 049
1:4,Lönebidrag och Samhall m.m.,826,1 542,1 588
"1:13","Nystartsjobb, etableringsjobb och stöd föryrkesintroduktionsanställningar",1 628,5 366,3 735
"1:14","Etableringsersättning till vissa nyanländainvandrare",45,−78,−49
2:1,Arbetsmiljöverket,20,40,40
2:5,Myndigheten för arbetsmiljökunskap,−20,−40,−40
Summa,−4 094,−803,−1 347
"",,,,
Miljoner kronor,,,,
"",,Avvikelse från regeringen,,
"",,2022,2023,2024
Utgiftsområde 15 Studiestöd,,,,
1:8,Centrala studiestödsnämnden,5,±0,±0
"99:1",Betald polisutbildning,±0,50,100
Summa,5,50,100,
"",,,,
Miljoner kronor,,,,
"",,Avvikelse från regeringen,,
"",,2022,2023,2024
Utgiftsområde 16 Utbildning och universitetsforskning,,,,
1:1,Statens skolverk,−71,−154,−183
1:2,Statens skolinspektion,60,60,60
1:5,"Utveckling av skolväsendet och annanpedagogisk verksamhet",20,20,20
2:1,Universitetskanslersämbetet,10,±0,±0
2:64,"Särskilda utgifter inom universitet ochhögskolor",20,20,20
3:1,"Vetenskapsrådet: Forskning ochforskningsinformation",100,100,100
Summa,139,46,17,
""
Miljoner kronor
"",,Avvikelse från regeringen,,
"",,2022,2023,2024
"Utgiftsområde 17 Kultur, medier, trossamfund och fritid",,,,
1:2,"Bidrag till allmän kulturverksamhet,utveckling samt internationellt kulturutbyteoch samarbete",190,290,290
8:1,Centrala museer: Myndigheter,−67,−90,−90
"13:3",Stöd till friluftsorganisationer,15,15,15
"14:1",Bidrag till folkbildningen,−138,±0,±0
Summa,±0,215,215,
"",,,,
Miljoner kronor,,,,
"",,Avvikelse från regeringen,,
"",,2022,2023,2024
"Utgiftsområde 18 Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",,,,
"1:4",Boverket,−20,−20,−20
"1:6",Lantmäteriet,20,20,20
"1:7",Energieffektivisering av flerbostadshus,−1 256,−80,−1 130
"1:8","Investeringsstöd för anordnande avhyresbostäder och bostäder för studerande",±0,±0,−4 650
Summa,−1 256,−80,−5 780,
"",,,,
Miljoner kronor,,,,
"",,Avvikelse från regeringen,,
"",,2022,2023,2024
Utgiftsområde 19 Regional utveckling,,,,
"1:1",Regionala utvecklingsåtgärder,75,75,150
Summa,75,75,150,
"",,,,
Miljoner kronor,,,,
"",,Avvikelse från regeringen,,
"",,2022,2023,2024
Utgiftsområde 20 Allmän miljö- och naturvård,,,,
1:1,Naturvårdsverket,10,10,10
1:3,Åtgärder för värdefull natur,280,380,400
1:11,Åtgärder för havs- och vattenmiljö,220,220,220
1:12,"Insatser för internationellaklimatinvesteringar",60,60,60
1:14,Skydd av värdefull natur,−2 005,−2 005,−2 005
1:16,Klimatinvesteringar,−800,−1 955,−3 155
1:19,Industriklivet,500,500,500
1:21,Driftstöd för bio-CCS,10,10,10
99:1,Utbyggd laddinfrastruktur,1 000,1 000,1 000
99:2,Grönt bränslestöd,800,900,900
Summa,75,−880,−2 060,
"",,,,
Miljoner kronor,,,,
"",,Avvikelse från regeringen,,
"",,2022,2023,2024
Utgiftsområde 21 Energi,,,,
"1:4",Energiforskning,250,250,250
"1:5",Infrastruktur för elektrifierade transporter,−600,±0,±0
1:,Energiteknik,−500,−700,−700
7,,,,
Summa,−850,−450,−450,
"",,,,
Miljoner kronor,,,,
"",,Avvikelse från regeringen,,
"",,2022,2023,2024
Utgiftsområde 22 Kommunikationer,,,,
1:2,"Vidmakthållande av statenstransportinfrastruktur",525,175,175
1:6,"Ersättning avseende icke statligaflygplatser",59,±0,±0
"1:18","Bidrag för upprätthållande avkollektivtrafik",500,±0,±0
Summa,1 084,175,175,
"",Avvikelse från regeringen,
"",2022 2023,2024
"","Utgiftsområde 23 Areella näringar, landsbygd och livsmedel",
"",1:1 Skogsstyrelsen 40 40,40
"",1:2 Insatser för skogsbruket −360 −360,−360
"",1:7 Ersättningar för viltskador m.m. 25 25,25
"",1:9 Bekämpning av växtskadegörare 5 5,5
"",1:1 Livsmedelsverket 5 5,5
4,,
"",1:1 Konkurrenskraftig livsmedelssektor 70 70,70
5,,
"",1:1 Åtgärder för landsbygdens miljö och ±0 1 000,1 000
7,struktur,
"",1:2 Nedsättning av slakteriavgifter 70 70,70
6,,
"",Summa −145 855,855
"",Avvikelser gentemot regeringen för utgiftsområde 24 Näringsliv,
"",,
"",Miljoner kronor,
"",Avvikelse från regeringen,
"",2022 2023,2024
"",Utgiftsområde 24 Näringsliv,
"",1:4 Tillväxtverket 10 10,10
"",1:5 Näringslivsutveckling −100 −100,−100
"",1:1 Bolagsverket 5 5,5
1,,
"",Summa −85 −85,−85
Miljoner kronor,,,,
"",,Avvikelse från regeringen,,
"",,2022,2023,2024
Utgiftsområde 25 Allmänna bidrag till kommuner,,,,
"1:1",Kommunalekonomisk utjämning,5 649,8 060,10 691
Summa,5 649,8 060,10 691,
